Pickup Community Area,Dropoff Community Area,Fare,Trip Seconds,Trip Miles,
3,8,17,685,8.5,
3,94,22,122,11.1,
7,24,24,1345,8.44,
7,98,41,141,8.2,
8,7,113,693,1.5,
8,24,9,1256,2.23,
8,56,5,1800,4,
24,3,15,1101,9.1,
24,96,4,104,1.1,
24,97,67,867,7.3,
24,98,47,547,14.1,
32,3,30,357,16.75,
32,43,10,762,0.3,
32,94,29,137,2.45,
43,7,3.25,1201,0.15,
43,8,12,946,1.95,
43,99,93,993,27,
56,3,11,829,3.79,
56,32,3,357,16.75,
56,43,6,660,3,
85,89,67,867,6.3,
86,85,4,40,0.7,
86,87,16,216,1.3,
87,85,31,231,4.5,
88,86,15,315,3.1,
88,87,53,753,9.1,
88,89,49,649,4.1,
88,96,53,453,5.8,
89,87,51,515,8.3,
89,91,87,197,9.7,
90,88,7,377,1.1,
90,89,23,323,3.7,
90,92,4,583,3.3,
91,90,42,442,5.4,
92,91,3,603,4.3,
92,93,33,533,3.3,
92,95,12,415,2.2,
93,91,17,717,1.7,
93,95,0.5,50,0.01,
94,93,1,301,0.1,
94,95,54,154,3.2,
95,88,72,972,7.1,
95,90,2,202,0.4,
96,95,19,619,1.4,
96,97,55,555,6.2,
97,86,6,176,0.7,
97,88,8,208,1.3,
98,97,13,413,3.1,
99,7,24,224,4.2,
99,98,34,334,4.8,
